,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.651,0.665,0.645,0.664,0.645,0.644,0.645,0.645,0.645,0.645,0.647,0.646,0.654,0.649,0.647,0.648,0.67,0.645,0.659,0.648,0.648,0.65,0.645,0.647,0.648,0.65,0.654,0.645,0.648,0.646,0.647,0.652
1,0.659,0.644,0.645,0.663,0.653,0.665,0.668,0.698,0.653,0.644,0.66,0.662,0.668,0.664,0.648,0.674,0.666,0.67,0.651,0.668,0.654,0.652,0.654,0.654,0.645,0.654,0.676,0.649,0.651,0.648,0.658,0.656
2,0.651,0.657,0.685,0.688,0.65,0.686,0.651,0.633,0.685,0.712,0.671,0.657,0.696,0.646,0.721,0.687,0.672,0.646,0.657,0.694,0.65,0.663,0.659,0.646,0.652,0.653,0.658,0.68,0.649,0.637,0.648,0.667
3,0.676,0.654,0.649,0.651,0.643,0.647,0.668,0.66,0.646,0.645,0.648,0.649,0.688,0.652,0.655,0.628,0.662,0.649,0.656,0.667,0.641,0.652,0.645,0.645,0.651,0.647,0.651,0.702,0.647,0.73,0.665,0.653
4,0.652,0.635,0.644,0.686,0.647,0.652,0.679,0.636,0.651,0.661,0.641,0.651,0.658,0.715,0.643,0.658,0.697,0.732,0.653,0.637,0.651,0.644,0.639,0.645,0.642,0.661,0.662,0.657,0.641,0.703,0.765,0.646
5,0.644,0.687,0.71,0.688,0.677,0.649,0.693,0.649,0.659,0.695,0.78,0.66,0.734,0.726,0.661,0.715,0.67,0.644,0.709,0.667,0.654,0.652,0.687,0.701,0.712,0.712,0.651,0.69,0.657,0.764,0.656,0.654
6,0.695,0.651,0.716,0.685,0.681,0.778,0.65,0.679,0.673,0.68,0.676,0.661,0.759,0.668,0.776,0.718,0.726,0.676,0.666,0.656,0.658,0.762,0.647,0.67,0.648,0.687,0.654,0.692,0.659,0.699,0.661,0.665
7,0.721,0.687,0.714,0.651,0.646,0.663,0.667,0.678,0.664,0.692,0.68,0.772,0.725,0.693,0.679,0.772,0.745,0.651,0.718,0.698,0.653,0.743,0.667,0.697,0.715,0.659,0.644,0.707,0.702,0.742,0.776,0.659
8,0.66,0.643,0.656,0.727,0.644,0.672,0.735,0.709,0.691,0.735,0.73,0.768,0.715,0.707,0.71,0.66,0.855,0.664,0.728,0.795,0.727,0.749,0.679,0.764,0.777,0.655,0.672,0.791,0.702,0.686,0.72,0.668
9,0.72,0.734,0.658,0.713,0.794,0.748,0.687,0.675,0.765,0.712,0.662,0.767,0.712,0.719,0.686,0.739,0.697,0.701,0.785,0.643,0.723,0.701,0.695,0.708,0.695,0.719,0.694,0.731,0.729,0.732,0.735,0.647
10,0.681,0.71,0.682,0.65,0.727,0.732,0.719,0.678,0.708,0.75,0.745,0.695,0.69,0.686,0.725,0.651,0.753,0.692,0.794,0.743,0.691,0.746,0.677,0.734,0.739,0.767,0.733,0.656,0.688,0.678,0.778,0.766
11,0.705,0.731,0.675,0.676,0.644,0.685,0.696,0.707,0.766,0.736,0.744,0.687,0.724,0.673,0.716,0.764,0.795,0.794,0.748,0.679,0.73,0.703,0.719,0.717,0.702,0.77,0.719,0.657,0.706,0.691,0.755,0.68
